job_id,job_title,industry,location,salary_usd,skills_required,remote_option,company_size,posting_date,salary_usd_normalized
1,Quantum Researcher,Quantum Computing,Singapore,175780,"Linear Algebra, Quantum Algorithms",0,3,2025-07-22,0.6289073243422993
2,Renewable Energy Engineer,Green Tech,Singapore,137481,"Climate Data Analysis, Energy Modeling",1,3,2025-09-26,0.43739029988448674
3,Quantum Researcher,Quantum Computing,Tokyo,182081,"Linear Algebra, Qiskit",0,2,2025-12-31,0.6604159478340009
4,Sustainability Analyst,Green Tech,Singapore,113822,"Climate Data Analysis, Energy Modeling",0,3,2025-05-29,0.31908169439485545
5,Smart Contract Engineer,Blockchain,London,92575,"Rust, Solidity",1,1,2025-03-30,0.21283447596473593
6,Smart Contract Engineer,Blockchain,Tokyo,173379,"Solidity, Rust",1,2,2025-08-10,0.616900943608515
7,Renewable Energy Engineer,Green Tech,New York,99659,"Climate Data Analysis, Energy Modeling",0,1,2025-05-27,0.2482585497332193
8,Quantum Software Developer,Quantum Computing,London,210842,"Qiskit, Quantum Algorithms",1,3,2025-04-13,0.8042374873110407
9,Sustainability Analyst,Green Tech,New York,189475,"Climate Data Analysis, Energy Modeling",0,1,2025-04-12,0.6973901998729855
10,Blockchain Developer,Blockchain,Tokyo,228992,"Ethereum, Solidity",0,3,2025-06-28,0.8949979247613475
11,Quantum Researcher,Quantum Computing,New York,122847,"Quantum Algorithms, Qiskit",1,1,2025-02-09,0.36421188436670215
12,AI Engineer,AI,Singapore,136880,"TensorFlow, PyTorch",1,1,2025-03-15,0.434384954269741
13,Data Scientist,AI,Singapore,50387,"Python, TensorFlow",1,2,2025-03-02,0.001870215074733561
14,Quantum Researcher,Quantum Computing,Dubai,194786,"Linear Algebra, Qiskit",0,3,2025-05-02,0.7239482540492157
15,Smart Contract Engineer,Blockchain,Berlin,54857,"Rust, Ethereum",1,3,2025-12-06,0.024222785620346354
16,Blockchain Developer,Blockchain,Tokyo,189314,"Solidity, Ethereum",0,2,2025-07-23,0.696585107287338
17,Renewable Energy Engineer,Green Tech,London,214393,"Climate Data Analysis, Energy Modeling",1,1,2025-04-11,0.8219945293708777
18,Data Scientist,AI,Singapore,190743,"TensorFlow, Python",1,1,2025-10-07,0.7037309290568415
19,Quantum Software Developer,Quantum Computing,Dubai,127617,"Qiskit, Quantum Algorithms",1,3,2025-02-23,0.38806462743215475
20,Data Scientist,AI,Berlin,121525,"Python, TensorFlow",1,3,2025-12-15,0.3576011241292749
21,Smart Contract Engineer,Blockchain,Tokyo,180309,"Solidity, Ethereum",1,1,2025-11-23,0.651554928816814
22,Quantum Researcher,Quantum Computing,New York,179393,"Quantum Algorithms, Linear Algebra",0,1,2025-06-15,0.6469744020562365
23,Quantum Software Developer,Quantum Computing,Berlin,169818,"Qiskit, Linear Algebra",1,3,2025-07-16,0.5990938957980168
24,Sustainability Analyst,Green Tech,New York,183315,"Climate Data Analysis, Energy Modeling",0,3,2025-01-24,0.6665866574656085
25,Quantum Researcher,Quantum Computing,Tokyo,130298,"Qiskit, Quantum Algorithms",0,3,2025-10-13,0.40147116918445624
26,Blockchain Developer,Blockchain,New York,147535,"Rust, Ethereum",1,3,2025-07-19,0.48766608159938396
27,Quantum Software Developer,Quantum Computing,Berlin,143783,"Linear Algebra, Qiskit",0,1,2025-02-10,0.46890392395125435
28,Smart Contract Engineer,Blockchain,Dubai,228902,"Solidity, Rust",0,1,2025-01-01,0.8945478730053957
29,AI Engineer,AI,New York,107735,"PyTorch, TensorFlow",1,2,2025-12-18,0.2886431939673062
30,Quantum Software Developer,Quantum Computing,Tokyo,160752,"Qiskit, Linear Algebra",0,1,2025-04-05,0.5537586822484586
31,Renewable Energy Engineer,Green Tech,London,103065,"Climate Data Analysis, Energy Modeling",0,3,2025-05-04,0.265290508408467
32,Renewable Energy Engineer,Green Tech,London,94222,"Energy Modeling, Climate Data Analysis",0,2,2025-07-13,0.22107042309865632
33,Smart Contract Engineer,Blockchain,Singapore,240202,"Solidity, Ethereum",0,3,2025-11-06,0.9510543712526942
34,AI Engineer,AI,Berlin,175142,"TensorFlow, PyTorch",1,3,2025-01-18,0.6257169574501068
35,AI Engineer,AI,London,200374,"PyTorch, Python",1,1,2025-03-16,0.7518914675187647
36,Blockchain Developer,Blockchain,London,148378,"Ethereum, Solidity",1,2,2025-10-06,0.4918815663801337
37,Quantum Researcher,Quantum Computing,Tokyo,195771,"Qiskit, Linear Algebra",1,3,2025-02-25,0.7288738204893563
38,Renewable Energy Engineer,Green Tech,Singapore,201161,"Energy Modeling, Climate Data Analysis",0,3,2025-10-13,0.755826920095811
39,ML Researcher,AI,Berlin,76133,"TensorFlow, Python",1,1,2025-12-27,0.13061502072738362
40,Blockchain Developer,Blockchain,London,187672,"Rust, Solidity",1,3,2025-10-12,0.6883741630287483
41,Quantum Software Developer,Quantum Computing,Tokyo,227029,"Linear Algebra, Quantum Algorithms",0,2,2025-12-31,0.8851817959065293
42,Smart Contract Engineer,Blockchain,Dubai,96432,"Ethereum, Rust",0,1,2025-05-14,0.23212169399480942
43,Quantum Software Developer,Quantum Computing,London,145451,"Linear Algebra, Quantum Algorithms",1,2,2025-07-09,0.47724488316156355
44,ML Researcher,AI,London,56990,"Python, TensorFlow",0,1,2025-03-06,0.03488901223640717
45,Blockchain Developer,Blockchain,Dubai,155708,"Ethereum, Solidity",0,1,2025-01-30,0.5285357816148857
46,Quantum Software Developer,Quantum Computing,London,222633,"Qiskit, Quantum Algorithms",0,3,2025-08-08,0.8631992679158103
47,Renewable Energy Engineer,Green Tech,Singapore,188452,"Energy Modeling, Climate Data Analysis",1,1,2025-01-19,0.6922746115803318
48,Renewable Energy Engineer,Green Tech,New York,168462,"Energy Modeling, Climate Data Analysis",1,3,2025-12-25,0.592313116008341
49,Quantum Software Developer,Quantum Computing,New York,54770,"Quantum Algorithms, Linear Algebra",0,1,2025-05-26,0.023787735589592796
50,Quantum Researcher,Quantum Computing,Dubai,224859,"Linear Algebra, Quantum Algorithms",1,2,2025-06-26,0.8743305480130215
51,Renewable Energy Engineer,Green Tech,New York,87478,"Climate Data Analysis, Energy Modeling",1,3,2025-02-18,0.18734654485265806
52,AI Engineer,AI,New York,98138,"Python, TensorFlow",1,1,2025-08-25,0.2406526750576316
53,Sustainability Analyst,Green Tech,Singapore,213723,"Climate Data Analysis, Energy Modeling",1,2,2025-11-06,0.8186441440765688
54,Smart Contract Engineer,Blockchain,Berlin,178953,"Rust, Solidity",0,3,2025-01-26,0.6447741490271381
55,Smart Contract Engineer,Blockchain,Berlin,53902,"Ethereum, Solidity",0,3,2025-05-08,0.019447236432189707
56,ML Researcher,AI,Berlin,144942,"TensorFlow, PyTorch",1,2,2025-12-06,0.4746995904529021
57,Quantum Researcher,Quantum Computing,New York,177875,"Quantum Algorithms, Linear Algebra",0,1,2025-01-24,0.6393835291058472
58,Quantum Software Developer,Quantum Computing,New York,60387,"Quantum Algorithms, Qiskit",1,1,2025-11-16,0.051875965736059626
59,Sustainability Analyst,Green Tech,Singapore,148827,"Energy Modeling, Climate Data Analysis",1,1,2025-03-13,0.49412682458482726
60,Smart Contract Engineer,Blockchain,New York,237964,"Ethereum, Rust",0,2,2025-04-18,0.9398630842546893
61,Blockchain Developer,Blockchain,Tokyo,123218,"Rust, Solidity",1,1,2025-08-21,0.36606709771623736
62,Renewable Energy Engineer,Green Tech,Singapore,228583,"Climate Data Analysis, Energy Modeling",0,3,2025-09-03,0.8929526895592994
63,Smart Contract Engineer,Blockchain,Tokyo,92895,"Rust, Ethereum",0,1,2025-12-21,0.2144346599858984
64,Blockchain Developer,Blockchain,Dubai,79151,"Rust, Solidity",1,3,2025-05-27,0.14570675627697183
65,Quantum Researcher,Quantum Computing,London,80631,"Quantum Algorithms, Qiskit",1,2,2025-03-15,0.15310760737484808
66,AI Engineer,AI,Dubai,131254,"PyTorch, Python",0,1,2025-05-17,0.406251718947679
67,Sustainability Analyst,Green Tech,Tokyo,233720,"Energy Modeling, Climate Data Analysis",1,2,2025-10-19,0.9186406436740226
68,Blockchain Developer,Blockchain,New York,220074,"Ethereum, Solidity",1,3,2025-09-08,0.850402796321577
69,Smart Contract Engineer,Blockchain,Dubai,87609,"Ethereum, Rust",0,3,2025-12-01,0.18800162018632144
70,Renewable Energy Engineer,Green Tech,London,77980,"Climate Data Analysis, Energy Modeling",0,2,2025-07-15,0.13985108287453057
71,Blockchain Developer,Blockchain,Berlin,153287,"Ethereum, Solidity",1,2,2025-10-18,0.5164293893797787
72,Renewable Energy Engineer,Green Tech,New York,92067,"Climate Data Analysis, Energy Modeling",0,2,2025-01-02,0.21029418383114057
73,Data Scientist,AI,London,249885,"PyTorch, Python",0,1,2025-05-15,0.9994749396180562
74,Quantum Researcher,Quantum Computing,Singapore,59737,"Quantum Algorithms, Linear Algebra",0,3,2025-12-03,0.04862559194307342
75,Renewable Energy Engineer,Green Tech,Tokyo,190693,"Climate Data Analysis, Energy Modeling",0,3,2025-08-16,0.7034809003035349
76,Data Scientist,AI,Dubai,135752,"PyTorch, Python",1,1,2025-05-15,0.4287443055951434
77,Quantum Researcher,Quantum Computing,London,249565,"Quantum Algorithms, Linear Algebra",1,1,2025-04-14,0.9978747555968936
78,Data Scientist,AI,Dubai,89447,"Python, PyTorch",0,2,2025-03-13,0.19719267715787314
79,Data Scientist,AI,Dubai,249952,"PyTorch, Python",1,2,2025-07-03,0.999809978147487
80,Smart Contract Engineer,Blockchain,New York,161896,"Rust, Solidity",1,2,2025-08-06,0.5594793401241143
81,Sustainability Analyst,Green Tech,Dubai,195896,"Climate Data Analysis, Energy Modeling",0,1,2025-04-10,0.7294988923726229
82,Blockchain Developer,Blockchain,New York,166524,"Rust, Ethereum",1,1,2025-07-20,0.582622001530176
83,Blockchain Developer,Blockchain,Dubai,201048,"Rust, Solidity",1,3,2025-07-17,0.7552618551133381
84,Smart Contract Engineer,Blockchain,Tokyo,141598,"Rust, Ethereum",0,3,2025-03-26,0.4579776674317547
85,Sustainability Analyst,Green Tech,London,128803,"Climate Data Analysis, Energy Modeling",1,2,2025-11-23,0.39399530946058803
86,Quantum Software Developer,Quantum Computing,Singapore,100859,"Quantum Algorithms, Linear Algebra",1,1,2025-07-08,0.2542592398125785
87,Quantum Researcher,Quantum Computing,Dubai,236421,"Linear Algebra, Qiskit",1,1,2025-07-17,0.9321471969276467
88,Quantum Software Developer,Quantum Computing,Berlin,182275,"Quantum Algorithms, Linear Algebra",0,2,2025-11-22,0.6613860593968307
89,Quantum Software Developer,Quantum Computing,Dubai,229560,"Quantum Algorithms, Qiskit",1,2,2025-09-20,0.8978382513989109
90,Quantum Software Developer,Quantum Computing,Tokyo,126173,"Qiskit, Quantum Algorithms",0,2,2025-02-20,0.38084379703665927
91,Renewable Energy Engineer,Green Tech,Singapore,208192,"Energy Modeling, Climate Data Analysis",0,1,2025-11-13,0.7909859633857894
92,Sustainability Analyst,Green Tech,Singapore,220796,"Climate Data Analysis, Energy Modeling",0,2,2025-06-23,0.8540132115193249
93,Quantum Researcher,Quantum Computing,Dubai,114350,"Linear Algebra, Qiskit",0,3,2025-12-10,0.3217219980297734
94,Smart Contract Engineer,Blockchain,Dubai,79916,"Ethereum, Solidity",1,1,2025-02-28,0.1495321962025633
95,Smart Contract Engineer,Blockchain,London,187831,"Solidity, Ethereum",0,2,2025-07-04,0.6891692544642635
96,Blockchain Developer,Blockchain,Berlin,199549,"Rust, Solidity",1,1,2025-07-26,0.7477659930892053
97,Renewable Energy Engineer,Green Tech,Dubai,62257,"Energy Modeling, Climate Data Analysis",1,1,2025-08-02,0.0612270411097276
98,Smart Contract Engineer,Blockchain,Tokyo,113775,"Solidity, Ethereum",1,2,2025-06-17,0.31884666736674716
99,Smart Contract Engineer,Blockchain,Tokyo,156267,"Solidity, Ethereum",1,1,2025-06-20,0.5313311030768538
100,AI Engineer,AI,Tokyo,201677,"PyTorch, TensorFlow",0,3,2025-12-05,0.7584072168299354
101,Data Scientist,AI,New York,147467,"Python, PyTorch",1,1,2025-10-11,0.487326042494887
102,Smart Contract Engineer,Blockchain,London,247521,"Ethereum, Rust",1,3,2025-10-19,0.9876535801617186
103,ML Researcher,AI,Tokyo,192471,"Python, PyTorch",1,2,2025-04-25,0.7123719227711187
104,Quantum Researcher,Quantum Computing,London,70638,"Quantum Algorithms, Linear Algebra",0,3,2025-08-19,0.10313686073898498
105,Smart Contract Engineer,Blockchain,New York,138547,"Solidity, Ethereum",0,2,2025-05-07,0.44272091290498405
106,Quantum Researcher,Quantum Computing,Dubai,101188,"Qiskit, Quantum Algorithms",1,1,2025-12-12,0.2559044290093361
107,AI Engineer,AI,Singapore,86671,"PyTorch, TensorFlow",1,3,2025-04-30,0.18331108077428904
108,Quantum Researcher,Quantum Computing,London,134790,"Quantum Algorithms, Linear Algebra",1,1,2025-12-14,0.42393375238152387
109,Renewable Energy Engineer,Green Tech,Dubai,214976,"Climate Data Analysis, Energy Modeling",0,1,2025-10-31,0.824909864634433
110,Data Scientist,AI,London,147423,"Python, TensorFlow",1,2,2025-06-22,0.4871060171919771
111,Sustainability Analyst,Green Tech,Singapore,202836,"Climate Data Analysis, Energy Modeling",0,3,2025-05-20,0.7642028833315833
112,Quantum Researcher,Quantum Computing,Dubai,93416,"Linear Algebra, Quantum Algorithms",1,2,2025-08-25,0.21703995959535344
113,Data Scientist,AI,Singapore,98160,"PyTorch, TensorFlow",1,2,2025-09-13,0.24076268770908654
114,ML Researcher,AI,Tokyo,161667,"TensorFlow, PyTorch",0,1,2025-09-20,0.55833420843397
115,Smart Contract Engineer,Blockchain,Tokyo,242785,"Rust, Solidity",0,1,2025-05-18,0.9639708566485146
116,Quantum Researcher,Quantum Computing,London,212646,"Linear Algebra, Qiskit",0,2,2025-07-16,0.8132585247303441
117,ML Researcher,AI,New York,63215,"Python, PyTorch",0,2,2025-01-04,0.06601759202308266
118,Smart Contract Engineer,Blockchain,London,86040,"Rust, Solidity",0,1,2025-03-08,0.18015571790755935
119,Quantum Software Developer,Quantum Computing,Dubai,51023,"Linear Algebra, Qiskit",1,2,2025-04-14,0.005050580816793937
120,AI Engineer,AI,Dubai,52746,"TensorFlow, Python",0,2,2025-09-19,0.013666571655740423
121,Sustainability Analyst,Green Tech,New York,142705,"Energy Modeling, Climate Data Analysis",1,2,2025-03-14,0.4635133040299635
122,Sustainability Analyst,Green Tech,Berlin,174051,"Climate Data Analysis, Energy Modeling",0,1,2025-09-06,0.6202613300529561
123,Quantum Software Developer,Quantum Computing,Berlin,202562,"Quantum Algorithms, Qiskit",0,1,2025-04-19,0.7628327257634628
124,Renewable Energy Engineer,Green Tech,Tokyo,152190,"Climate Data Analysis, Energy Modeling",0,3,2025-03-12,0.5109437585322312
125,Smart Contract Engineer,Blockchain,London,67821,"Rust, Ethereum",1,3,2025-12-17,0.08905024077768942
126,Quantum Researcher,Quantum Computing,New York,207175,"Linear Algebra, Qiskit",1,3,2025-07-27,0.7859003785435326
127,Renewable Energy Engineer,Green Tech,Singapore,74744,"Energy Modeling, Climate Data Analysis",1,3,2025-12-17,0.12366922196052543
128,Quantum Software Developer,Quantum Computing,Berlin,202805,"Linear Algebra, Quantum Algorithms",0,2,2025-03-25,0.7640478655045331
129,Data Scientist,AI,Tokyo,149528,"Python, TensorFlow",1,2,2025-11-18,0.4976322277061862
130,Sustainability Analyst,Green Tech,London,142226,"Climate Data Analysis, Energy Modeling",0,2,2025-09-30,0.461118028573286
131,Quantum Researcher,Quantum Computing,Berlin,200826,"Qiskit, Linear Algebra",0,2,2025-04-27,0.7541517274486567
132,Quantum Software Developer,Quantum Computing,Berlin,104160,"Quantum Algorithms, Linear Algebra",0,3,2025-06-12,0.2707661381058821
133,AI Engineer,AI,Singapore,229764,"Python, PyTorch",1,3,2025-05-30,0.8988583687124019
134,Quantum Software Developer,Quantum Computing,New York,79013,"Qiskit, Quantum Algorithms",1,1,2025-10-31,0.14501667691784553
135,Quantum Researcher,Quantum Computing,Tokyo,125838,"Qiskit, Linear Algebra",0,1,2025-01-20,0.37916860438950484
136,ML Researcher,AI,London,207673,"PyTorch, TensorFlow",1,1,2025-12-25,0.7883906649264665
137,Sustainability Analyst,Green Tech,London,233670,"Energy Modeling, Climate Data Analysis",1,1,2025-05-14,0.9183906149207159
138,Blockchain Developer,Blockchain,New York,79886,"Solidity, Ethereum",1,2,2025-03-28,0.14938217895057931
139,Blockchain Developer,Blockchain,Berlin,148516,"Rust, Ethereum",1,2,2025-03-20,0.49257164573926004
140,Renewable Energy Engineer,Green Tech,London,84598,"Energy Modeling, Climate Data Analysis",0,2,2025-05-07,0.17294488866219615
141,Blockchain Developer,Blockchain,New York,157579,"Solidity, Ethereum",0,3,2025-11-21,0.5378918575636198
142,AI Engineer,AI,Singapore,151674,"Python, TensorFlow",1,2,2025-09-01,0.5083634617981068
143,Blockchain Developer,Blockchain,London,245022,"Solidity, Rust",1,1,2025-07-31,0.9751571430714532
144,Renewable Energy Engineer,Green Tech,London,150747,"Energy Modeling, Climate Data Analysis",0,3,2025-04-29,0.5037279287118018
145,Quantum Researcher,Quantum Computing,Berlin,155555,"Qiskit, Linear Algebra",0,2,2025-03-19,0.5277706936297675
146,Smart Contract Engineer,Blockchain,Tokyo,109969,"Solidity, Ethereum",0,2,2025-05-29,0.2998144786650465
