job_id,job_title,industry,location,salary_usd,skills_required,remote_option,company_size,posting_date,salary_usd_normalized
9255,Blockchain Developer,Blockchain,Singapore,53260,"Ethereum, Rust",1,3,2025-03-05,0.016236867239732555
1562,Sustainability Analyst,Green Tech,Singapore,185462,"Energy Modeling, Climate Data Analysis",1,1,2025-07-18,0.6773228921325952
1671,Quantum Software Developer,Quantum Computing,Singapore,87571,"Qiskit, Quantum Algorithms",1,2,2025-07-09,0.1878115983338084
6088,Smart Contract Engineer,Blockchain,Berlin,128264,"Solidity, Ethereum",0,3,2025-09-08,0.39129999949994254
6670,Smart Contract Engineer,Blockchain,Dubai,135142,"Rust, Solidity",0,1,2025-08-08,0.42569395480480254
5934,Sustainability Analyst,Green Tech,Dubai,152181,"Energy Modeling, Climate Data Analysis",0,2,2025-06-17,0.510898753356636
8830,Quantum Software Developer,Quantum Computing,Singapore,133316,"Linear Algebra, Qiskit",0,2,2025-03-05,0.41656290473404445
7946,Data Scientist,AI,Singapore,71595,"PyTorch, Python",1,2,2025-08-16,0.1079224110772739
3509,Smart Contract Engineer,Blockchain,Berlin,92489,"Rust, Ethereum",0,1,2025-12-16,0.21240442650904856
2003,Smart Contract Engineer,Blockchain,London,105506,"Rust, Solidity",0,1,2025-05-29,0.2774969121448967
5867,Sustainability Analyst,Green Tech,New York,227483,"Climate Data Analysis, Energy Modeling",0,1,2025-02-28,0.8874520569865534
169,Smart Contract Engineer,Blockchain,Singapore,219622,"Rust, Ethereum",0,1,2025-01-17,0.848142536391685
2589,Renewable Energy Engineer,Green Tech,Dubai,142156,"Climate Data Analysis, Energy Modeling",1,3,2025-02-08,0.4607679883186566
5906,Data Scientist,AI,London,240604,"PyTorch, Python",0,3,2025-01-30,0.9530646024292795
9530,Renewable Energy Engineer,Green Tech,Tokyo,50784,"Climate Data Analysis, Energy Modeling",1,2,2025-08-24,0.003855443375988199
6385,Sustainability Analyst,Green Tech,New York,89576,"Climate Data Analysis, Energy Modeling",1,3,2025-10-26,0.19783775134140424
7825,Blockchain Developer,Blockchain,Tokyo,172354,"Rust, Ethereum",1,3,2025-09-27,0.611775354165729
9780,Quantum Software Developer,Quantum Computing,Dubai,151734,"Quantum Algorithms, Linear Algebra",0,3,2025-06-04,0.5086634963020747
4630,Smart Contract Engineer,Blockchain,Tokyo,229621,"Ethereum, Rust",0,3,2025-06-01,0.8981432864779451
8561,Renewable Energy Engineer,Green Tech,New York,123795,"Climate Data Analysis, Energy Modeling",0,1,2025-03-04,0.3689524295293959
9292,Quantum Researcher,Quantum Computing,Tokyo,202923,"Linear Algebra, Qiskit",0,2,2025-05-04,0.7646379333623368
6875,Sustainability Analyst,Green Tech,New York,249078,"Climate Data Analysis, Energy Modeling",1,1,2025-11-01,0.9954394755396871
6522,Quantum Software Developer,Quantum Computing,Singapore,131477,"Qiskit, Quantum Algorithms",1,3,2025-04-28,0.40736684718742655
8980,AI Engineer,AI,Singapore,111713,"PyTorch, Python",0,2,2025-04-30,0.3085354815803818
6648,Data Scientist,AI,Dubai,51093,"PyTorch, Python",0,2,2025-06-13,0.005400621071423195
9826,Quantum Researcher,Quantum Computing,New York,236679,"Quantum Algorithms, Linear Algebra",0,3,2025-05-08,0.9334373452947089
211,Sustainability Analyst,Green Tech,Dubai,121216,"Climate Data Analysis, Energy Modeling",1,3,2025-10-21,0.35605594643383986
5279,Quantum Researcher,Quantum Computing,Tokyo,235255,"Quantum Algorithms, Linear Algebra",1,3,2025-12-03,0.9263165264005362
1920,Quantum Software Developer,Quantum Computing,Tokyo,209307,"Qiskit, Quantum Algorithms",0,3,2025-08-01,0.7965616045845272
719,Quantum Software Developer,Quantum Computing,Berlin,190274,"Linear Algebra, Qiskit",1,2,2025-04-19,0.7013856593508254
4869,AI Engineer,AI,Dubai,152294,"Python, PyTorch",0,1,2025-02-19,0.511463818339109
7835,Renewable Energy Engineer,Green Tech,Berlin,171831,"Energy Modeling, Climate Data Analysis",1,1,2025-03-01,0.6091600534061418
1299,Quantum Software Developer,Quantum Computing,Tokyo,137817,"Qiskit, Quantum Algorithms",0,3,2025-07-21,0.4390704931067073
9194,ML Researcher,AI,London,184539,"TensorFlow, PyTorch",1,2,2025-07-28,0.6727073613465548
4618,Quantum Researcher,Quantum Computing,New York,244290,"Qiskit, Linear Algebra",1,2,2025-05-31,0.9714967221230442
3129,Data Scientist,AI,London,205636,"Python, TensorFlow",0,2,2025-08-06,0.7782044935167545
9796,Sustainability Analyst,Green Tech,Berlin,108370,"Climate Data Analysis, Energy Modeling",0,1,2025-05-11,0.29181855913430044
3980,Sustainability Analyst,Green Tech,Dubai,152519,"Climate Data Analysis, Energy Modeling",1,1,2025-06-24,0.5125889477289889
9925,Quantum Researcher,Quantum Computing,Berlin,238523,"Quantum Algorithms, Linear Algebra",0,1,2025-11-08,0.9426584057166574
8318,Data Scientist,AI,New York,206443,"Python, TensorFlow",1,3,2025-09-14,0.7822399575951235
4394,Quantum Software Developer,Quantum Computing,Tokyo,135527,"Quantum Algorithms, Linear Algebra",0,2,2025-04-03,0.4276191762052636
1288,Blockchain Developer,Blockchain,Tokyo,233825,"Solidity, Rust",1,1,2025-03-29,0.9191657040559664
4356,Data Scientist,AI,Singapore,242984,"TensorFlow, Python",1,3,2025-11-05,0.9649659710866749
7014,Renewable Energy Engineer,Green Tech,Tokyo,137346,"Climate Data Analysis, Energy Modeling",1,3,2025-10-15,0.4367152222505588
3886,Blockchain Developer,Blockchain,Dubai,230046,"Ethereum, Rust",1,1,2025-01-03,0.9002685308810514
5750,Smart Contract Engineer,Blockchain,Dubai,156435,"Rust, Solidity",0,3,2025-01-05,0.5321711996879641
9170,Quantum Software Developer,Quantum Computing,Tokyo,194133,"Linear Algebra, Quantum Algorithms",1,2,2025-02-12,0.7206828785310311
2408,Smart Contract Engineer,Blockchain,New York,247534,"Ethereum, Solidity",0,2,2025-08-03,0.9877185876375785
2014,Blockchain Developer,Blockchain,New York,63646,"Solidity, Rust",0,3,2025-07-12,0.06817283987658579
5154,Blockchain Developer,Blockchain,London,78624,"Ethereum, Rust",0,2,2025-06-20,0.14307145321711995
8552,Blockchain Developer,Blockchain,Singapore,137294,"Ethereum, Solidity",1,2,2025-09-01,0.43645519234711994
4377,Quantum Researcher,Quantum Computing,New York,151065,"Quantum Algorithms, Linear Algebra",1,3,2025-12-27,0.505318111582832
8823,Quantum Researcher,Quantum Computing,Berlin,71385,"Quantum Algorithms, Linear Algebra",0,2,2025-04-22,0.10687229031338602
4274,Quantum Software Developer,Quantum Computing,Dubai,119349,"Quantum Algorithms, Qiskit",0,2,2025-10-20,0.3467198727853703
5826,Sustainability Analyst,Green Tech,Dubai,94598,"Energy Modeling, Climate Data Analysis",1,3,2025-03-03,0.22295063932352222
6700,Data Scientist,AI,London,120371,"PyTorch, Python",0,1,2025-02-02,0.35183046050295785
7244,AI Engineer,AI,Singapore,121803,"Python, TensorFlow",0,2,2025-07-10,0.3589912839976598
